ID_ALUNO;ID_SALA_ALOCADA;ID_ESCOLA;ETAPA_DESEJADA;ETAPA_OFERECIDA;DISTANCIA_KM;CUSTO_TOTAL
22876;-1;NA;2;NA;0.00;100.00
22877;102;216;5;5;9531.99;9.53
22878;-1;NA;10;NA;0.00;100.00
22879;381;445;9;9;11611.91;11.61
22880;966;57;1;1;1186.75;1.19
22881;668;38;11;11;10491.69;10.49
22882;-1;NA;12;NA;0.00;100.00
22883;436;49;12;12;14505.55;14.51
22884;212;404;11;11;7929.25;7.93
22885;269;489;6;6;2265.95;2.27
22886;676;390;10;10;10398.57;10.40
22887;256;202;7;7;5557.77;5.56
22888;971;119;12;12;8958.26;8.96
22889;940;47;13;13;22103.74;22.10
22890;356;460;6;6;5066.89;5.07
22891;17;313;6;6;7041.48;7.04
22892;648;323;8;8;14489.64;14.49
22893;389;339;11;11;13094.45;13.09
22894;634;324;3;3;12112.78;12.11
22895;775;305;12;12;10425.10;10.43
22896;43;249;6;6;9415.14;9.42
22897;399;11;3;3;18407.80;18.41
22898;-1;NA;8;NA;0.00;100.00
22899;56;297;4;4;16430.11;16.43
22900;23;174;12;12;1492.09;1.49
22901;-1;NA;11;NA;0.00;100.00
22902;544;224;8;8;4072.23;4.07
